,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
7809,1007810,Who We Were Before,2017,,,Horror,,,"Estranged friends haunted by tragedy reunite in the East Texas woods to try to put the past to rest, but soon find themselves fighting for their future against an unknown force.",Zach Morrison,"     Sam Bullington, Jordan Maranto, Charlotte Rose, Luke Mire",,,https://www.imdb.com/title/tt5763170/,
7810,1007811,Frat Star,2017,TV-MA,85,"Comedy, Drama",,,"An insecure, poor, and despondent freshman retains no interest in a fraternity up till his rich roommate, Billy, convinces him to pledge - introducing him to a world darker than he ever imagined.","Grant S. Johnson, Jena Serbu","     Connor Lawrence, Justin Mark, Cathryn Dylan Ortiz, Chris Elliott",729,,https://www.imdb.com/title/tt5117484/,"https://m.media-amazon.com/images/M/MV5BZWU2Yzg4ZTctMGZiYi00MzQ4LTgxMDItMjk1ZDA3MzhmZjZlXkEyXkFqcGdeQXVyMTEyMzM1NjQ@._V1_UY98_CR3,0,67,98_AL_.jpg"
7811,1007812,The Cleanzing of Lake Lanier,2017,,77,Drama,,,After losing a son in a boating accident a husband and wife consults a team investigating the phenomenon of missing persons at Georgia's Lake Lanier.,Jibril Haynes,"     Roger Albelo, Cory Anderson, Jadyn Ballard, Stacie Ballard",,,https://www.imdb.com/title/tt5921474/,"https://m.media-amazon.com/images/M/MV5BMTAxZjMzMjItYjAzMS00NWQ5LWFkYmItYTYyYmQ0YTk1ZDEzXkEyXkFqcGdeQXVyNjA0OTc5MjU@._V1_UY98_CR33,0,67,98_AL_.jpg"
7812,1007813,Amityville Exorcism,2017,,77,Horror,,,"A family must put faith in a mysterious priest when a demonic force, connected to a decades-old murders in their home, possesses their daughter.",Mark Polonia,"     Marie DeLorenzo, Jeff Kirkendall, James Carolus, Steve Diasparra","2,117",,https://www.imdb.com/title/tt6068978/,"https://m.media-amazon.com/images/M/MV5BMjI1NjkyMDQxNF5BMl5BanBnXkFtZTgwMTkzMzQyMDI@._V1_UY98_CR1,0,67,98_AL_.jpg"
7813,1007814,Rednecks,2017,,98,"Comedy, Musical",,,"A group of rednecks go on an adventure to get fame, fortune and everything they have always dreamed of.",John Birmingham,"     John Birmingham, Royce Hobson, Jeremy Ambler, Brandy Mason","1,510",,https://www.imdb.com/title/tt2880664/,"https://m.media-amazon.com/images/M/MV5BNjUyMTIzNmUtYzI2Ni00ZTNkLTg4MGQtMmE5NmVlZmE2MzM5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDIwMzI1Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
7814,1007815,Mississippi Murder,2017,Not Rated,113,Thriller,,,"A murder mystery which takes place on the Mississippi Gulf Coast. A young woman tries to live a normal life, despite a horrible upbringing. She will learn her past will haunt her once more.",Price Hall,"     Malcolm McDowell, Luke Goss, Bryan Batt, Kate Orsini",230,,https://www.imdb.com/title/tt2827058/,"https://m.media-amazon.com/images/M/MV5BYzBlMTYzMjgtNDg2Ny00ZWY5LTg0ZTktYmU5OWMwYTIzZmNiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTIxMzA5MDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
7815,1007816,Divine Will,2017,PG,114,"Comedy, Fantasy, Musical",,,"Life in Punkyville, Kentucky has always been a bit...unconventional, but when Will Blessing unexpectedly arrives, things really get interesting. Will comes with his uncle, Dave, a former ...                See full summary »",Ken Jones,"     Lee Roessler, Brent Reed, Kathryn Boswell, Kat Moser",58,,https://www.imdb.com/title/tt6217958/,"https://m.media-amazon.com/images/M/MV5BZjA4MWFiZWQtZmZhYS00NzBhLWExMzctYWIzYmI4YjA1ZDMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc3NTY0MTY@._V1_UY98_CR3,0,67,98_AL_.jpg"
7816,1007817,Another Man Will,2017,,102,Drama,,,Add a Plot,David E. Talbert,"     Nadine Ellis, Thomas Miles, Jason Weaver",8,,https://www.imdb.com/title/tt14162640/,
7817,1007818,Connect the Thots,2017,,140,Comedy,,,A group of childhood friends grown with different lives coincidentally start individually experiencing various types of problems and turmoil all of a sudden nothing makes sense until they ...                See full summary »,Byron Love Luv,"     Lakesha Chandler, Latoya Cook, Miya Cooper, Marcus Davenport",13,,https://www.imdb.com/title/tt6456754/,"https://m.media-amazon.com/images/M/MV5BY2NmOTM0MTAtZTA3My00ODI1LWJhMjAtZGI3MTJjOGUzZDcxL2ltYWdlXkEyXkFqcGdeQXVyNzE5OTg5MzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
7818,1007819,Les Filles,2017,,84,"Drama, Romance",,,Les Filles is a deeply personal examination of the relationship between young adolescents and their mothers and the influence of that formative relationship on their conceptions of love and...                See full summary »,Aaveen Marandi,"     Emily Fontanesi, Matin Ghadakchi, Rana Ghiassi, Alex Louie Henson",,,https://www.imdb.com/title/tt6398776/,"https://m.media-amazon.com/images/M/MV5BY2E0MTE3YjItZGE4ZC00MTdkLWEzMmEtYjMxZmYwZjAwNzg2XkEyXkFqcGdeQXVyNjk3MzYwOTc@._V1_UY98_CR5,0,67,98_AL_.jpg"
